"订单编号","支付类型","操作人","总价","减免金额","实付款"
"seek0120161015028","现金支付","frank",46,0,46
"seek0120161015027","现金支付","frank",29,0,29
"seek0120161015026","现金支付","frank",18,0,18
"seek0120161015025","现金支付","frank",23,0,23
"seek0120161015024","现金支付","frank",6,0,6
"seek0120161015023","现金支付","frank",23,0,23
"seek0120161015022","现金支付","frank",69,0,69
"seek0120161015021","现金支付","frank",23,0,23
"seek0120161015020","现金支付","frank",6,0,6
"seek0120161015019","现金支付","frank",52,0,52
"seek0120161015018","现金支付","frank",23,0,23
"seek0120161015017","现金支付","frank",23,0,23
"seek0120161015016","现金支付","frank",23,0,23
"seek0120161015015","现金支付","frank",23,0,23
"seek0120161015014","现金支付","frank",23,0,23
"seek0120161015013","现金支付","frank",23,0,23
"seek0120161015012","现金支付","frank",29,0,29
"seek0120161015011","现金支付","frank",52,5.199999999999996,46.800000000000004
