"名称","数量","小计"
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"卡布奇诺",1,18
"双人套餐",1,32
"拿铁咖啡",1,18
"拿铁咖啡",1,18
"拿铁咖啡",1,18
"拿铁咖啡",1,18
"拿铁咖啡",1,18
"拿铁咖啡",1,18
"拿铁咖啡",1,18
"拿铁咖啡",1,18
"拿铁咖啡",1,18
"橙汁",1,12
"橙汁",1,12
"趣多多",1,8
"趣多多",1,8
