"时间","订单编号","总价","优惠","次卡","挂帐金额","现金","微信","支付宝","刷卡","校园卡","会员卡","应收","抹零","充值金额","充值赠送","实收"
"2017-01-05","seek02642_20170105001",36,0,36,0,0,0,0,0,0,0,0,0,0,0,0
"2017-01-05","NaN",10,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"2017-01-06","seek02448_20170106002",76,0,0,0,76,0,0,0,0,0,76,0,0,0,76
"2017-01-02","seek02674_20170102004",76,7.6,0,0,68.4,0,0,0,0,0,68.4,0,0,0,68.4
"2017-01-02","seek02717_20170102003",67,6.7,0,0,60.3,0,0,0,0,0,60.3,0,0,0,60.3
"2017-01-02","seek02400_20170102002",80,0,0,0,80,0,0,0,0,0,80,0,0,0,80
"2017-01-02","seek02166_20170102001",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-03","null14354904128661520",24,0,0,0,0,24,0,0,0,0,24,0,0,0,24
"2017-01-03","null9633648136582658",24,0,0,0,0,24,0,0,0,0,24,0,0,0,24
"2017-01-03","null4449320196612918",24,0,0,0,0,24,0,0,0,0,24,0,0,0,24
"2017-01-03","null11089723948108654",34,0,0,0,0,34,0,0,0,0,34,0,0,0,34
"2017-01-03","null9828730532877146",34,0,0,0,0,34,0,0,0,0,34,0,0,0,34
"2017-01-03","null518600648585862",34,0,0,0,0,34,0,0,0,0,34,0,0,0,34
"2017-01-03","null10154594476498712",24,0,0,0,0,24,0,0,0,0,24,0,0,0,24
"2017-01-03","null3598183223104013",14,0,0,0,0,14,0,0,0,0,14,0,0,0,14
"2017-01-15","seek02731_20170115003",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-15","seek02403_20170115002",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-15","seek02438_20170115001",18.05,0,0,0,18.05,0,0,0,0,0,18.05,0,0,0,18.05
"2017-01-13","seek02_8873334977723301",24,0,0,0,0,24,0,0,0,0,24,0,0,0,24
"2017-01-13","seek02344_20170113003",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-13","seek02_11025797380068542",38,0,0,0,0,38,0,0,0,0,38,0,0,0,38
"2017-01-13","seek02_6580541432354890",20,0,0,0,0,20,0,0,0,0,20,0,0,0,20
"2017-01-13","seek02_9763386605024636",55,0,0,0,0,55,0,0,0,0,55,0,0,0,55
"2017-01-13","seek02_11771900817712752",57,0,0,0,0,57,0,0,0,0,57,0,0,0,57
"2017-01-13","seek02_6549147949317627",10,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"2017-01-13","seek02_5058689537742994",10,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"2017-01-13","seek02_14590620439537068",10,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"2017-01-13","seek02_2426675544256512",10,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"2017-01-13","seek02_12223916206526744",10,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"2017-01-13","seek02_11585829158841338",90,0,0,0,0,90,0,0,0,0,90,0,0,0,90
"2017-01-13","seek02_3718759214363849",10,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"2017-01-13","seek02_9103452092567840",14,0,0,0,0,14,0,0,0,0,14,0,0,0,14
"2017-01-13","seek02_109093743383495",10,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"2017-01-13","seek02_11309367693244192",10,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"2017-01-13","seek02_1888247522446300",10,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"2017-01-13","seek02_5343968681353553",10,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"2017-01-13","seek02_2516638065569648",10,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"2017-01-18","seek02688_20170118046",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02362_20170118045",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02590_20170118044",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02756_20170118044",0.05,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0.05
"2017-01-18","seek02195_20170118043",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02893_20170118042",0.05,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0.05
"2017-01-18","seek02559_20170118041",0.05,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0.05
"2017-01-18","seek02307_20170118040",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02767_20170118039",0.05,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0.05
"2017-01-18","seek02131_20170118038",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02420_20170118037",0.05,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0.05
"2017-01-18","seek02711_20170118036",0.05,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0.05
"2017-01-18","seek0227_20170118035",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02588_20170118034",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02714_20170118033",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek026_20170118032",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02140_20170118031",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02825_20170118030",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02976_20170118029",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02411_20170118028",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02423_20170118027",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02151_20170118026",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02605_20170118025",0.05,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0.05
"2017-01-18","seek021000_20170118024",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02540_20170118023",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02178_20170118022",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek0282_20170118021",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek024_20170118020",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02481_20170118019",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02946_20170118018",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02789_20170118017",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02578_20170118016",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02308_20170118015",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02891_20170118014",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02637_20170118013",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02372_20170118012",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02828_20170118011",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02480_20170118010",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek0215_20170118009",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02375_20170118008",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02947_20170118007",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02909_20170118007",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek0266_20170118006",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02238_20170118005",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-18","seek02688_20170118004",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-14","seek02574_20170114011",18.05,0,0,0,18.05,0,0,0,0,0,18.05,0,0,0,18.05
"2017-01-14","seek0277_20170114010",18.05,0,0,0,18.05,0,0,0,0,0,18.05,0,0,0,18.05
"2017-01-14","seek02883_20170114009",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-14","seek02464_20170114008",18.05,0,0,0,18.05,0,0,0,0,0,18.05,0,0,0,18.05
"2017-01-14","seek02132_20170114007",18.05,0,0,0,18.05,0,0,0,0,0,18.05,0,0,0,18.05
"2017-01-14","seek02891_20170114006",18.05,3.61,0,0,14.44,0,0,0,0,0,14.44,0,0,0,14.44
"2017-01-14","seek02615_20170114005",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-14","seek02244_20170114004",18,0,0,0,18,0,0,0,0,0,18,0,0,0,18
"2017-01-14","seek02_1672021415544438",18,0,0,0,0,18,0,0,0,0,18,0,0,0,18
"2017-01-14","seek02_4388461654185571",18,0,0,0,0,18,0,0,0,0,18,0,0,0,18
"2017-01-14","seek02_6692610734675256",18,0,0,0,0,18,0,0,0,0,18,0,0,0,18
"2017-01-14","seek02_6701557762158448",18,0,0,0,0,18,0,0,0,0,18,0,0,0,18
"2017-01-14","seek02_3001715259810053",18,0,0,0,0,18,0,0,0,0,18,0,0,0,18
"2017-01-14","seek02_4652479537458416",18,0,0,0,0,18,0,0,0,0,18,0,0,0,18
"2017-01-14","seek02_9807483472662894",18,0,0,0,0,18,0,0,0,0,18,0,0,0,18
"2017-01-14","seek02_6223755070835769",18,0,0,0,0,18,0,0,0,0,18,0,0,0,18
"2017-01-14","seek02_10561448782510950",18,0,0,0,0,18,0,0,0,0,18,0,0,0,18
"2017-01-14","seek02_14095034165378022",18,0,0,0,0,18,0,0,0,0,18,0,0,0,18
"2017-01-14","seek02_2005381050160138",18,0,0,0,0,18,0,0,0,0,18,0,0,0,18
"2017-01-14","seek02_5917596783949910",18,0,0,0,0,18,0,0,0,0,18,0,0,0,18
